Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
516,Joe Harris,2.1,0.483,0.439,0.78,25.6,11.1,3.2,1.6,20.5,0.093,-0.6,3.9,2013,11.11,2.92,3.31,28.5,33.5,-,0.06,8.5,9.75,6' 4.75'',6' 6.25'',8' 4'',215,6' 6'',11.11,2.92,3.31,28.5,33.5,-
518,Nick Johnson,2.1,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3,2013,10.8,2.95,3.27,33.5,41.5,-,0.06,8.75,9.75,6' 1.5'',6' 3'',8' 0.5'',198,6' 7.25'',10.8,2.95,3.27,33.5,41.5,-
520,JaMychal Green,3.5,,,,,,,,,,,,,10.63,-,3.38,29.5,32.5,19,0.1,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25'',10.63,-,3.38,29.5,32.5,19
521,Furkan Aldemir,6.4,0.513,0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-3.6,-0.2,2011,,,,,,,,,,,,,,,,,,,,
522,Kyle Anderson,3.7,0.476,0.336,0.714,21,6.6,4.4,2.3,26,0.122,1.7,9.6,2013,-,-,-,-,-,-,0.13,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75'',-,-,-,-,-,-
524,Glenn Robinson III,2,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9,0.071,-1.7,0.4,2013,11.22,3.04,3.15,36.5,41.5,-,0.05,9,9.5,6' 5.5'',6' 6.75'',8' 4.5'',211.4,6' 10'',11.22,3.04,3.15,36.5,41.5,-
526,Michael Carter-Williams,17.6,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9,2012,10.68,3.7,3.22,31.5,41,8,0.04,7.5,8.5,6' 4.75'',6' 5.75'',8' 5'',184.4,6' 7.25'',10.68,3.7,3.22,31.5,41,8
527,Victor Oladipo,13.2,0.438,0.347,0.791,33,17.5,4.6,4,24.6,0.079,0.9,10.8,2012,10.69,3.14,3.25,33,42,15,0.07,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25'',10.69,3.14,3.25,33,42,15
528,Trey Burke,12.1,0.412,0.345,0.812,21.1,9.8,1.8,3.1,13.2,0.062,-1.2,1.9,2012,11.2,3.01,3.16,29.5,36.5,3,0.07,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187,6' 5.5'',11.2,3.01,3.16,29.5,36.5,3
529,Tim Hardaway Jr.,7.4,0.422,0.358,0.812,27,13.9,2.8,1.9,26,0.079,-0.8,4.9,2012,10.68,2.93,3.25,31.5,37.5,16,0.06,8,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7'',10.68,2.93,3.25,31.5,37.5,16
530,Ben McLemore,6.7,0.414,0.363,0.776,22.5,8.9,2.3,1,8.8,0.035,-3.1,-3.2,2012,11.87,3.11,3.27,32.5,42,6,0.05,8.75,9.5,6' 3.5'',6' 4.75'',8' 4.5'',189.2,6' 7.75'',11.87,3.11,3.27,32.5,42,6
531,Kelly Olynyk,10.7,0.475,0.365,0.779,22.1,10.1,5.1,2,34.3,0.125,0.9,9.4,2012,11.42,2.99,3.59,24.5,29.5,5,0.07,8.5,10,6' 10.75'',7' 0'',9' 0'',234,6' 9.75'',11.42,2.99,3.59,24.5,29.5,5
532,Ryan Kelly,9.8,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,-2.6,-0.5,2012,-,-,-,-,-,-,0.15,9,10,6' 9.75'',6' 11.75'',9' 2'',228,6' 11.5'',-,-,-,-,-,-
533,Mason Plumlee,10.6,0.582,0.049,0.558,22.3,8.4,6.6,2.4,43.1,0.144,1.3,11.9,2012,10.89,2.76,3.29,30.5,36,14,0.06,9.75,9.5,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11'',10.89,2.76,3.29,30.5,36,14
534,Nate Wolters,8.6,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-2.6,-0.2,2012,-,-,-,-,-,8,0.06,8.25,8.75,6' 3.5'',6' 4.75'',8' 2'',196.4,6' 3.75'',-,-,-,-,-,8
535,Pero Antic,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Giannis Antetokounmpo,9.1,0.533,0.289,0.719,32.5,21.6,9.3,4.6,84.9,0.196,5.9,41.6,2012,,,,,,,,,,,,,,,,,,,,
537,Ray McCallum,6.1,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,-2.6,-0.4,2012,10.82,3.08,3.25,30.5,40,5,0.07,8,8.75,6' 0.25'',6' 1.75'',8' 0.5'',191.4,6' 3.25'',10.82,3.08,3.25,30.5,40,5
538,Hollis Thompson,7.3,,,,,,,,,,,,,11.72,-,3.38,28.5,36.5,6,0.06,8.25,9.75,6' 6.75'',6' 8'',8' 6.5'',206,6' 9.5'',11.72,-,3.38,28.5,36.5,6
539,Cody Zeller,7.8,0.52,0.221,0.731,22.2,8.5,6,1.4,32.2,0.141,-0.5,4.1,2012,10.82,2.69,3.15,35.5,37.5,17,0.05,8.5,10.5,6' 10.75'',7' 0.25'',8' 10'',230,6' 10.75'',10.82,2.69,3.15,35.5,37.5,17
540,Kentavious Caldwell-Pope,5.6,0.418,0.358,0.811,29.2,11.4,3.1,1.7,33.5,0.083,-0.8,5.8,2012,10.6,3.2,3.12,29,34.5,7,0.06,8.5,9,6' 4.5'',6' 5.5'',8' 4.5'',203.6,6' 8'',10.6,3.2,3.12,29,34.5,7
541,CJ McCollum,3.7,0.454,0.397,0.819,31.5,19.1,3.4,3.4,39.3,0.105,1.3,15,2012,11.02,2.91,3.32,32,38.5,13,0.09,8,9.5,6' 2.25'',6' 3.25'',8' 0.5'',197,6' 6.25'',11.02,2.91,3.32,32,38.5,13
542,Nick Calathes,6.6,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.5,0.8,2009,,,,,,,,,,,,,,,,,,,,
543,Gorgui Dieng,8.4,0.5,0.367,0.791,20.7,7.5,5.8,1.3,30.6,0.12,0.4,7.3,2012,-,-,-,-,-,-,0.05,9,10,6' 9.75'',6' 10.75'',9' 3.5'',229.6,7' 3.5'',-,-,-,-,-,-
544,Matthew Dellavedova,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Tony Snell,4.2,0.431,0.394,0.845,21.9,6.1,2.3,1.1,18.5,0.069,-2,0.1,2012,11.36,2.84,3.25,30,36.5,7,0.05,9,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5'',11.36,2.84,3.25,30,36.5,7
546,Vitor Faverani,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Anthony Bennett,3.9,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3,2012,,,,,,,,,,,,,,,,,,,,
548,Shabazz Muhammad,3.1,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0,2012,10.99,2.93,3.32,29.5,37,10,0.09,9,10,6' 4.75'',6' 6.25'',8' 8.5'',221.8,6' 11'',10.99,2.93,3.32,29.5,37,10
549,Miroslav Raduljica,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Dennis Schroder,3.3,,,,,,,,,,,,,11.09,2.86,3.21,30,34,1,0.04,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75'',11.09,2.86,3.21,30,34,1
551,Archie Goodwin,3.4,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,-3,-0.6,2012,10.75,3.41,3.27,30,36,1,0.05,8.5,9,6' 3.75'',6' 5.25'',8' 6'',189,6' 9.5'',10.75,3.41,3.27,30,36,1
552,Robbie Hummel,4.4,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4,2011,11.56,-,3.41,27.5,30,13,0.09,8.5,9.5,6' 7.25'',6' 8.5'',8' 6'',218,6' 8.5'',11.56,-,3.41,27.5,30,13
553,Jeff Withey,5.7,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.5,1.3,2012,12.49,3.29,3.47,26.5,29,10,0.09,9,9.75,6' 10.75'',7' 0.5'',9' 2.5'',221.8,7' 2'',12.49,3.29,3.47,26.5,29,10
554,Steven Adams,6.4,0.587,0.077,0.548,26.8,9.3,7.9,1.4,54.2,0.15,0.4,10.8,2012,11.85,3.02,3.4,28.5,33,16,0.07,9.5,11,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5'',11.85,3.02,3.4,28.5,33,16
555,Dewayne Dedmon,5.9,,,,,,,,,,,,,12.75,3.26,3.4,28,32.5,8,0.08,9,11,6' 10'',6' 11.5'',9' 1'',238.8,7' 4'',12.75,3.26,3.4,28,32.5,8
556,Phil Pressey,4.7,,,,,,,,,,,,,10.86,3.02,3.13,33,38.5,7,0.05,7.75,9.75,5' 9.5'',5' 11.5'',7' 8'',177,6' 2.25'',10.86,3.02,3.13,33,38.5,7
557,Brandon Davies,3.6,,,,,,,,,,,,,11.22,3.14,3.5,26,31.5,7,0.09,9,11,6' 8.5'',6' 10.25'',9' 0.5'',241.8,7' 1.5'',11.22,3.14,3.5,26,31.5,7
558,Toure' Murry,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Reggie Bullock,2.3,0.429,0.387,0.845,22.1,7.7,2.5,1.2,17.4,0.09,-0.7,3,2012,11.33,3.3,3.31,31,36.5,11,0.07,8.5,9,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75'',11.33,3.3,3.31,31,36.5,11
560,Gigi Datome,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Gal Mekel,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Rudy Gobert,4.7,0.651,0,0.636,29.9,12.3,11.6,1.3,83.5,0.226,4,27,2012,12.85,3.19,3.57,25,29,7,0.04,9.75,10,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5'',12.85,3.19,3.57,25,29,7
563,Dionte Christmas,2.3,,,,,,,,,,,,,10.83,-,3.21,27,33.5,3,0.07,-,-,6' 4.25'',6' 5.5'',8' 6.5'',210.8,6' 9'',10.83,-,3.21,27,33.5,3
564,Peyton Siva,2.1,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2,2012,10.59,2.93,3.16,33.5,41.5,15,0.06,8,9.75,5' 11.5'',6' 1'',7' 9'',180.6,6' 3'',10.59,2.93,3.16,33.5,41.5,15
565,Otto Porter Jr.,2.1,0.478,0.4,0.792,26,10.6,5,1.5,35.3,0.132,1.8,12.3,2012,,,,,,,,,,,,,,,,,,,,
566,Alex Len,3.1,0.507,0.331,0.683,19,7.7,5.9,0.9,21.5,0.097,-1.9,0.3,2012,-,-,-,-,-,-,0.06,9,10.75,,,,-,7' 3.5'',-,-,-,-,-,-
567,Andre Roberson,3.9,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,-0.6,2.3,2012,11.36,3.02,3.34,30,36.5,10,0.07,8.75,9.5,6' 6.25'',6' 7'',8' 8.5'',205.8,6' 11'',11.36,3.02,3.34,30,36.5,10
568,Solomon Hill,2.5,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,-2.1,-0.3,2012,10.77,2.91,3.19,29.5,37.5,14,0.08,9,10.5,6' 5.5'',6' 7'',8' 7'',226,6' 9'',10.77,2.91,3.19,29.5,37.5,14
569,Nemanja Nedovic,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Damian Lillard,17.3,0.437,0.373,0.893,36.3,24.6,4.2,6.6,94.4,0.175,4.7,43.8,2011,11.15,-,3.34,34.5,39.5,13,0.06,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75'',11.15,-,3.34,34.5,39.5,13
571,Dion Waiters,10.6,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4,2011,-,-,-,-,-,-,0.09,8.5,9.5,6' 2.5'',6' 4'',8' 2'',221,6' 7.25'',-,-,-,-,-,-
572,Bradley Beal,12.1,0.456,0.372,0.821,34.8,22.1,4.1,4.2,49.2,0.105,1.7,21,2011,10.95,-,3.28,33,39,8,0.06,8.5,9,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8'',10.95,-,3.28,33,39,8
573,Anthony Davis,18.2,0.515,0.303,0.794,34.4,23.8,10.2,2.3,91.4,0.212,6,42,2011,-,-,-,-,-,-,0.08,9,8.5,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5'',-,-,-,-,-,-
574,Harrison Barnes,9.2,0.453,0.381,0.805,31.8,14.2,5.1,1.8,44.3,0.092,-0.8,7.2,2011,10.93,-,3.16,38,39.5,15,0.1,9,8.5,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25'',10.93,-,3.16,38,39.5,15
575,Michael Kidd-Gilchrist,11.8,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6,2011,11.77,-,3.18,32,35.5,6,0.07,9,10.25,6' 5.75'',6' 7.5'',8' 8.5'',232.8,7' 0'',11.77,-,3.18,32,35.5,6
576,Jonas Valanciunas,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Kyle Singler,8.9,,,,,,,,,,,,,11.22,-,3.21,23,30,10,0.1,8.25,8.75,6' 7.5'',6' 8.5'',8' 10'',228,6' 10.1'',11.22,-,3.21,23,30,10
578,Chris Copeland,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Alexey Shved,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Maurice Harkless,9.6,0.474,0.32,0.624,22.7,6.9,3.6,0.9,23,0.079,-0.8,4.1,2011,10.87,-,3.25,32.5,37,5,0.05,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0'',10.87,-,3.25,32.5,37,5
581,Andre Drummond,13.8,0.538,0.132,0.471,29.8,13.9,13.3,1.4,66,0.152,1.3,17.4,2011,10.83,-,3.39,31.5,33.5,10,0.08,9.5,9.5,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25'',10.83,-,3.39,31.5,33.5,10
582,Tyler Zeller,10.4,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,-2,0,2011,11.13,-,3.4,30,34,16,0.06,9,9.75,6' 11.25'',7' 0.5'',8' 8.5'',247.4,7' 0'',11.13,-,3.4,30,34,16
583,Andrew Nicholson,8.2,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-3.6,-1.6,2011,11.89,-,3.67,28.5,30.5,10,0.08,10,10.75,6' 8.5'',6' 9.5'',8' 11'',234,7' 4'',11.89,-,3.67,28.5,30.5,10
584,Brian Roberts,6.9,,,,,,,,,,,,,10.65,-,3.05,31.5,36.5,10,0.04,-,-,6' 0.25'',6' 1.25'',7' 11'',173,6' 1.25'',10.65,-,3.05,31.5,36.5,10
585,Terrence Ross,5.3,0.418,0.363,0.839,24.9,11.3,2.9,1.3,23.5,0.068,-0.9,4.7,2011,11.78,-,3.28,31,37.5,2,0.03,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25'',11.78,-,3.28,31,37.5,2
586,Austin Rivers,4.6,0.418,0.35,0.646,24.2,8.9,2.1,2.2,13.6,0.043,-3,-3.9,2011,11.54,-,3.32,32.5,37.5,1,0.06,8.5,10,6' 3.5'',6' 5'',8' 0.5'',202.8,6' 7.25'',11.54,-,3.32,32.5,37.5,1
587,John Jenkins,5.4,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,-1.9,0.1,2011,11.36,-,3.37,30.5,36.5,10,0.07,9,9,6' 3.25'',6' 4.25'',8' 2'',212,6' 8.5'',11.36,-,3.37,30.5,36.5,10
588,Jeffery Taylor,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,John Henson,7.9,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.5,3.4,2011,-,-,-,25.5,30,5,0.09,9.25,10,6' 9'',6' 10.5'',9' 4'',216,7' 5'',-,-,-,25.5,30,5
590,Jared Sullinger,10.1,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7,2011,12.77,-,3.81,29.5,31,9,0.11,9.25,9.75,6' 7.75'',6' 9'',8' 9.5'',268.2,7' 1.25'',12.77,-,3.81,29.5,31,9
591,Donatas Motiejunas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Patrick Beverley,8.6,0.414,0.378,0.758,27.5,8.8,4.3,3.5,33.4,0.114,1.1,10.9,2009,,,,,,,,,,,,,,,,,,,,
593,Meyers Leonard,7.6,0.482,0.39,0.809,16,5.6,3.9,0.9,15.5,0.104,-1.4,1.1,2011,11.34,-,3.41,30,32.5,19,0.06,9.25,11,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3'',11.34,-,3.41,30,32.5,19
594,Evan Fournier,4.8,0.447,0.381,0.799,28.6,14.3,2.8,2.6,29.3,0.078,-1,4.6,2011,,,,,,,,,,,,,,,,,,,,
595,Jae Crowder,5.8,0.418,0.346,0.778,25.2,9.6,4.3,1.6,39.5,0.105,0.3,10.6,2011,11.45,-,3.37,31,34.5,20,0.09,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25'',11.45,-,3.37,31,34.5,20
596,Thomas Robinson,6.3,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,2011,11.96,-,3.17,28.5,35.5,15,0.05,9.75,10.5,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25'',11.96,-,3.17,28.5,35.5,15
597,Mike Scott,5,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.7,0.6,2011,11.59,-,3.44,27,32.5,14,0.11,8.5,9,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75'',11.59,-,3.44,27,32.5,14
598,Kyle O'Quinn,6.7,0.517,0.218,0.74,14.2,5.4,4.6,1.4,17.8,0.128,0.9,5,2011,11.65,-,3.53,31.5,31.5,-,0.08,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75'',11.65,-,3.53,31.5,31.5,-
599,Will Barton,3.8,0.434,0.352,0.787,25.7,11.6,4.3,2.7,25.7,0.079,-0.2,7.2,2011,12.5,-,3.6,30,34,0,0.04,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75'',12.5,-,3.6,30,34,0
600,Orlando Johnson,4.6,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1,2011,10.98,-,3.25,32,39.5,13,0.07,9,9.5,6' 3.75'',6' 5.25'',8' 3'',223.8,6' 11.25'',10.98,-,3.25,32,39.5,13
601,Nando De Colo,5.2,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.7,0.5,2009,,,,,,,,,,,,,,,,,,,,
602,Victor Claver,4.3,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.6,-0.4,2009,,,,,,,,,,,,,,,,,,,,
603,Arnett Moultrie,5.8,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-2.8,-0.1,2011,11.32,-,3.22,33.5,37.5,10,0.08,9.25,9.25,6' 9.5'',6' 10.75'',8' 10.5'',232.8,7' 2.25'',11.32,-,3.22,33.5,37.5,10
604,DeQuan Jones,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Mirza Teletovic,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Pablo Prigioni,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Doron Lamb,2.2,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.8,-1.2,2011,11.12,-,3.41,29,33.5,2,0.07,8.5,8.75,6' 3.25'',6' 4.75'',8' 2.5'',199.4,6' 6.75'',11.12,-,3.41,29,33.5,2
608,Jeremy Lamb,2.1,0.439,0.343,0.857,20.8,10.2,3.6,1.6,26.7,0.109,0.7,7.9,2011,10.98,-,3.25,31.5,38,5,0.05,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11'',10.98,-,3.25,31.5,38,5
609,Kendall Marshall,4.1,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-3.5,-1.1,2011,12.03,-,3.23,31,37,-,0.08,8.5,9,6' 3.25'',6' 4.25'',8' 0'',198.4,6' 5.5'',12.03,-,3.23,31,37,-
610,Kim English,2.5,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2,2011,10.59,-,3.33,29,36.5,-,0.04,8.5,8.75,6' 4.5'',6' 5.75'',8' 2'',192,6' 6.5'',10.59,-,3.33,29,36.5,-
611,Draymond Green,4.7,0.44,0.315,0.71,28.5,8.7,6.9,5.4,52,0.13,2.7,22.8,2011,11.01,-,3.4,28,33,9,0.11,9,9.5,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25'',11.01,-,3.4,28,33,9
612,Bernard James,5.1,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0,2011,11.84,-,3.4,30,32.5,6,0.05,9,9.25,6' 8.75'',6' 10'',9' 0.5'',229.8,7' 3'',11.84,-,3.4,30,32.5,6
613,Maalik Wayns,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Joel Freeland,3.5,0.459,0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,-3.3,-0.6,2006,,,,,,,,,,,,,,,,,,,,
615,Tony Wroten,2.4,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-3.4,-1.1,2011,10.75,-,3.24,30,35.5,0,0.05,8,9,6' 4.75'',6' 6'',8' 5'',203.2,6' 9'',10.75,-,3.24,30,35.5,0
616,Festus Ezeli,5.5,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-2,0,2011,12.35,-,3.29,34,33.5,18,0.06,9,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75'',12.35,-,3.29,34,33.5,18
617,Perry Jones III,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Darius Miller,3.5,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,-2.3,-0.4,2011,11.34,-,3.31,33,37,14,0.08,8.5,8.75,6' 6'',6' 7.5'',8' 5'',233.4,6' 9'',11.34,-,3.31,33,37,14
619,Tyshawn Taylor,1.2,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8,2011,11.48,-,3.2,32,36.5,0,0.04,8.75,8.75,6' 2.75'',6' 4'',8' 1.5'',177,6' 6.25'',11.48,-,3.2,32,36.5,0
620,Marquis Teague,2.3,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-6.5,-1,2011,10.65,-,3.19,32.5,40.5,8,0.06,8.25,7.75,6' 1'',6' 2'',8' 0.5'',179.8,6' 7.25'',10.65,-,3.19,32.5,40.5,8
621,Kent Bazemore,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Tornike Shengelia,1.5,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-7,-0.3,2011,,,,,,,,,,,,,,,,,,,,
623,Kyrie Irving,17.7,,,,,,,,,,,,,-,-,-,-,-,-,0.1,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4'',-,-,-,-,-,-
624,Brandon Knight,10.8,,,,,,,,,,,,,10.74,-,3.07,29,37.5,10,0.04,8.25,9.5,6' 1.5'',6' 3.25'',8' 2.5'',176.8,6' 6.75'',10.74,-,3.07,29,37.5,10
625,MarShon Brooks,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Klay Thompson,10.2,,,,,,,,,,,,,10.99,-,3.24,26.5,31.5,5,0.08,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9'',10.99,-,3.24,26.5,31.5,5
627,Kemba Walker,11.4,,,,,,,,,,,,,10.87,-,3.16,32,39.5,7,0.06,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5'',10.87,-,3.16,32,39.5,7
628,Isaiah Thomas,12.2,,,,,,,,,,,,,10.49,-,3.14,31.5,40,13,0.07,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75'',10.49,-,3.14,31.5,40,13
629,Ricky Rubio,15.4,0.389,0.326,0.843,30.3,11.1,4.2,7.6,41.9,0.1,0.6,13.4,2009,,,,,,,,,,,,,,,,,,,,
630,Kenneth Faried,15.3,,,,,,,,,,,,,11.35,-,3.26,30.5,35,16,0.06,8.5,10.25,6' 6'',6' 7.5'',9' 0'',224.6,7' 0'',11.35,-,3.26,30.5,35,16
631,Iman Shumpert,9.6,,,,,,,,,,,,,11.1,-,3.18,36.5,42,18,0.07,9,9,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5'',11.1,-,3.18,36.5,42,18
632,Chandler Parsons,11.4,,,,,,,,,,,,,11.05,-,3.29,25.5,31.5,4,0.07,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5'',11.05,-,3.29,25.5,31.5,4
633,Derrick Williams,8.5,,,,,,,,,,,,,11.03,-,3.23,29,34.5,19,0.11,9,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5'',11.03,-,3.23,29,34.5,19
634,Tristan Thompson,9.7,,,,,,,,,,,,,10.92,-,3.26,30,35,9,0.06,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25'',10.92,-,3.26,30,35,9
635,Kawhi Leonard,11.6,,,,,,,,,,,,,11.45,-,3.15,25.5,32,3,0.05,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3'',11.45,-,3.15,25.5,32,3
636,Jimmer Fredette,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Markieff Morris,8.4,,,,,,,,,,,,,-,-,3.4,27,31.5,11,0.1,8.5,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75'',-,-,3.4,27,31.5,11
638,Alec Burks,5.9,,,,,,,,,,,,,10.96,-,3.17,29,36,5,0.05,9,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10'',10.96,-,3.17,29,36,5
639,Norris Cole,4.8,,,,,,,,,,,,,10.07,-,3.22,29.5,38.5,11,0.05,8.5,9.5,6' 0.25'',6' 1.75'',7' 11.5'',174.4,6' 2.25'',10.07,-,3.22,29.5,38.5,11
640,Ivan Johnson,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Gustavo Ayon,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
